Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
November,29,25.29,18.47,24.68,716,81.23,25.43,9557
June,46,35.81,29.34,24.08,628,99.69,25.19,1274
May,116,44.39,37.98,19.31,1219,93.06,38.86,3948
June,48,49.78,37.31,18.1,770,87.8,33.94,9194
March,105,39.76,24.31,28.47,1155,92.6,38.94,7203
May,262,34.24,19.05,18.53,1016,82.31,27.79,1626
November,215,41.82,13.37,19.65,1396,82.68,31.95,5269
December,38,22.67,39.8,22.49,1559,96.85,34.82,2507
March,153,32.12,33.85,14.75,815,85.02,28.74,6133
September,205,46.16,32.15,17.61,1419,83.28,38.8,4874
March,101,42.74,19.42,12.47,1846,99.77,39.02,5809
August,212,35.08,34.79,24.2,767,81.14,36.18,2408
May,129,38.96,30.22,18.16,994,99.55,32.95,9588
March,281,31.37,26.69,12.2,602,94.46,38.44,8460
March,279,40.45,33.41,27.22,1508,91.67,45.11,8536
April,48,29.93,25.84,25.51,1017,91.08,49.08,9148
June,264,43.44,12.67,27.83,641,96.57,42.09,4728
February,72,30.44,39.32,16.0,643,81.77,36.15,4111
November,244,28.95,14.48,19.02,1718,84.13,23.39,5418
January,213,31.89,22.66,28.82,1330,85.44,46.62,2313
February,86,30.69,32.02,25.36,1842,80.01,38.71,6294
February,232,30.38,19.86,24.72,1767,92.81,34.64,2687
December,296,23.72,31.95,26.32,756,83.39,27.84,8521
December,236,37.86,14.72,25.3,843,93.27,35.67,4876
April,292,44.79,10.7,20.16,529,98.23,46.12,5065
December,54,42.24,11.52,18.69,892,96.22,22.19,8969
March,283,47.9,19.62,12.69,1471,97.06,38.94,4530
May,18,39.71,10.78,28.73,1990,88.18,35.6,5576
July,268,24.96,32.49,16.1,1789,90.57,48.95,6330
November,119,39.49,16.02,11.15,1312,96.81,31.02,3533
April,182,34.0,16.1,16.44,778,85.7,34.56,6379
January,199,32.8,19.93,11.15,1714,82.77,35.59,9010
January,108,27.84,23.28,24.99,1177,95.28,30.39,1203
September,46,32.89,17.15,19.64,1297,94.83,45.63,4361
July,19,29.94,10.54,19.93,890,98.52,49.32,8193
June,82,36.81,15.54,10.89,859,98.32,25.1,2703
August,231,25.35,31.75,15.26,1838,95.41,44.56,8770
December,146,34.01,28.65,20.42,540,98.76,43.69,2546
July,231,37.35,26.9,20.66,835,89.46,47.31,4826
June,277,29.27,32.5,17.73,1504,96.98,35.93,1914
September,222,32.99,18.28,16.13,558,97.99,49.71,5851
January,115,45.74,15.05,18.94,1030,96.71,43.41,8553
September,124,33.72,17.96,22.09,994,86.76,32.2,9971
June,18,38.42,10.86,11.17,1697,81.35,34.83,2523
December,65,40.18,34.88,19.57,1435,91.75,48.03,8343
August,197,21.15,25.22,17.64,1534,94.27,24.63,1780
October,77,49.76,38.97,23.0,1758,93.15,34.24,9533
April,224,44.95,16.96,15.65,512,92.74,25.57,5558
March,275,35.18,10.56,19.31,1025,80.8,30.27,7644
November,58,21.77,34.35,27.06,1790,98.42,49.88,5650
November,41,28.25,28.3,21.44,792,96.33,28.12,6895
December,248,30.8,19.26,22.73,633,91.31,22.01,6181
September,274,35.0,19.83,12.12,1257,86.98,20.29,5405
October,73,37.19,16.41,16.94,1508,88.27,28.72,1934
February,118,40.53,29.7,11.27,633,90.61,43.02,8006
April,120,44.06,17.21,25.44,1264,97.58,32.71,6539
January,249,39.99,26.07,10.85,1037,93.79,41.59,2374
August,176,28.08,29.54,11.67,777,80.14,43.41,9855
October,190,37.96,23.69,10.66,1580,84.89,27.56,6987
March,146,31.98,19.31,17.85,892,86.85,28.96,9390
February,181,31.69,25.06,23.54,1577,86.95,31.15,6378
July,49,29.85,29.34,25.37,554,82.57,37.53,3012
February,264,36.21,19.79,24.18,971,91.76,41.7,4909
January,33,39.75,29.04,16.53,1960,97.43,37.08,6137
July,201,45.19,32.05,20.95,740,83.24,20.31,8249
March,189,41.05,18.33,14.75,570,81.68,23.02,6516
October,46,46.7,37.99,23.71,804,83.9,20.58,3938
November,107,35.63,31.73,27.22,1133,95.18,39.21,3119
November,65,36.33,15.83,14.12,1660,83.89,30.15,4755
September,224,33.03,12.86,19.38,943,82.38,23.84,5295
May,67,29.95,37.96,24.11,1907,99.04,39.44,2446
April,221,36.73,20.28,10.78,815,98.52,48.75,2373
November,45,40.13,22.61,28.92,831,96.73,49.54,4363
October,143,42.76,38.34,28.77,1407,82.77,38.25,3540
September,119,46.35,11.7,29.29,958,87.6,20.79,7202
August,261,25.34,30.35,22.86,1834,81.1,23.26,3635
July,22,31.72,34.51,12.86,928,85.65,37.41,8114
February,64,37.82,39.82,10.81,1794,87.66,41.97,2472
July,78,33.14,37.95,19.64,1027,85.85,31.88,6214
May,177,45.06,22.92,12.2,1288,83.53,41.27,9729
January,295,35.42,11.5,27.0,889,85.64,40.38,1586
February,251,32.74,15.65,28.09,1310,88.7,41.01,7967
April,17,49.13,14.04,26.77,1901,80.33,20.93,5859
December,25,27.3,24.52,24.28,534,91.75,27.4,9049
November,196,20.12,34.27,20.8,1065,83.46,40.07,6175
December,109,27.78,19.91,20.6,674,92.77,32.71,6911
September,284,31.12,27.05,23.5,976,80.77,40.07,4918
October,230,44.62,34.92,11.23,1075,88.54,33.83,3369
January,214,32.97,37.75,21.15,654,90.97,40.41,4329
May,199,42.34,20.97,12.81,1700,92.16,35.34,9382
December,257,29.55,12.31,29.76,1590,82.99,28.08,7140
December,256,28.74,25.69,15.79,1827,84.79,37.49,1974
December,142,24.58,17.08,14.0,1900,86.42,33.0,4269
June,68,20.01,28.4,16.62,1968,82.96,46.31,2700
April,102,28.03,14.29,24.21,502,84.42,24.8,8253
September,182,31.69,24.32,11.25,1922,88.47,23.84,9896
May,35,23.46,16.38,12.12,509,99.91,41.25,1428
January,200,42.01,28.28,23.42,1425,94.25,24.57,7139
October,60,27.24,16.69,18.22,1276,87.73,24.3,6081
November,36,43.89,13.37,22.69,1451,97.24,48.81,2267
July,91,46.62,27.82,20.84,648,88.62,26.53,3135
May,176,34.43,36.97,26.68,1834,96.41,24.41,5285
November,95,48.35,32.22,15.09,1851,94.48,41.98,7056
December,203,33.67,21.16,22.96,1085,92.11,25.42,6837
November,88,42.82,24.78,27.91,1451,97.23,44.57,7963
March,131,23.46,22.96,13.75,972,99.73,39.79,4389
August,12,42.04,24.06,11.24,1636,87.74,38.28,5809
April,205,41.04,38.5,13.26,1994,80.11,34.34,8061
October,68,28.01,25.0,11.94,1039,94.34,41.71,9977
August,131,37.91,23.92,25.22,1666,83.44,33.37,8961
July,149,31.1,17.58,25.29,787,82.6,26.0,5925
October,121,37.16,27.01,13.26,793,84.08,34.6,9540
August,76,44.95,33.64,12.95,1197,80.16,20.42,2323
March,56,46.81,14.42,23.62,1808,99.25,23.45,4929
January,143,27.03,10.04,21.35,1112,93.72,41.23,1112
April,245,38.26,38.12,23.08,1982,83.22,31.03,3776
November,213,31.7,11.62,20.56,609,82.04,30.14,2992
July,170,41.22,16.27,25.78,567,94.81,47.45,3361
November,97,21.31,20.57,12.07,1928,84.41,31.64,5212
March,30,42.09,15.85,18.41,1545,86.98,36.13,7036
October,172,24.84,39.44,12.82,1187,83.41,27.58,3505
September,136,22.29,34.31,27.26,543,84.91,38.71,7867
April,189,40.12,12.21,15.96,1372,96.71,36.26,3719
May,240,28.76,30.54,16.87,1913,80.4,46.54,2811
June,133,33.96,24.66,21.06,1860,87.83,20.32,2646
July,206,36.49,18.13,20.29,1228,95.18,26.08,8554
May,37,39.99,17.95,19.74,1494,80.49,35.33,3655
September,17,49.03,10.81,11.49,1398,92.27,35.2,8034
September,251,44.69,36.45,18.26,1204,89.21,21.97,5578
June,189,20.21,28.4,15.72,938,92.98,29.35,9451
November,250,27.38,21.36,21.29,831,82.46,20.66,9753
July,298,33.24,33.28,22.8,594,89.62,41.92,8550
August,13,27.1,15.21,20.59,1763,97.13,21.9,4598
February,43,43.12,26.22,21.1,953,85.89,26.96,2724
September,47,45.71,38.74,29.28,1788,82.99,38.28,8782
March,235,29.05,14.78,12.04,936,89.94,48.29,1578
March,161,32.94,15.57,11.4,1809,84.14,42.49,3417
February,216,25.05,19.38,24.18,792,81.25,25.76,7899
March,127,43.53,27.29,13.17,1423,95.48,33.19,6969
July,60,35.72,22.72,20.69,674,88.42,23.58,3775
April,141,28.14,37.66,23.2,1046,98.34,47.94,3205
May,87,23.68,34.68,25.89,1053,83.27,27.24,9826
October,67,49.12,14.84,17.98,614,82.99,25.87,9559
January,18,30.53,32.5,12.91,501,93.35,32.37,3089
January,295,41.02,25.66,24.16,1505,96.73,31.41,7122
September,29,45.81,19.96,16.99,879,94.54,41.39,2177
February,223,41.58,38.11,16.75,1795,85.42,42.96,6547
July,98,28.65,21.86,11.34,534,94.75,26.87,1287
November,146,37.18,13.7,13.68,1306,92.23,47.2,7007
May,122,43.43,36.39,16.34,1142,82.64,37.11,5184
February,289,41.97,38.72,20.56,512,93.38,22.56,1642
January,244,45.4,21.59,10.42,1720,93.95,38.72,2408
July,286,36.05,22.5,24.51,1420,94.36,43.03,6873
October,50,38.57,24.31,23.4,863,89.07,31.64,7830
May,226,33.45,38.68,16.01,1218,98.66,21.35,9326
September,52,27.55,17.35,16.72,1890,80.03,26.25,5706
November,36,49.88,35.69,12.5,1621,84.15,32.11,2893
April,164,20.94,39.37,28.43,920,91.57,38.95,6098
January,150,37.7,27.91,11.37,1913,81.84,22.96,9004
March,85,44.67,34.72,25.65,1283,85.84,33.91,8954
August,21,47.18,22.04,23.46,957,94.95,24.09,8486
September,134,28.59,25.18,22.18,1339,85.63,40.59,9565
April,224,26.0,24.46,26.58,1215,85.31,45.39,7734
February,259,28.5,28.61,10.74,1486,83.01,46.99,4004
October,113,42.0,15.05,16.39,1377,94.82,44.96,2994
June,168,26.41,27.15,20.51,689,88.32,39.1,9928
November,55,35.08,21.57,23.79,1029,83.36,43.49,4563
May,132,24.06,38.79,11.56,520,91.39,22.11,9337
March,252,24.75,13.03,17.68,1320,92.47,25.01,6608
November,224,48.18,10.73,24.31,1425,96.06,20.59,3338
February,57,32.77,22.98,17.34,716,94.46,40.12,2126
December,203,25.11,12.16,19.88,1283,80.08,45.38,2286
November,89,29.37,21.01,15.21,599,93.46,47.21,2372
November,282,39.54,33.22,13.35,1004,87.8,30.93,6360
February,211,40.75,13.81,23.17,1705,97.04,46.06,7746
August,244,47.2,15.74,27.34,1672,83.27,48.33,6818
June,177,37.92,28.08,24.99,759,84.96,39.36,8269
February,185,36.16,15.9,15.68,1972,94.63,28.98,3763
October,246,23.41,24.18,13.99,1891,87.15,25.05,9690
July,40,27.94,18.34,11.82,1390,93.28,41.11,2727
November,161,32.98,34.95,26.04,1043,95.79,31.71,1743
December,170,36.37,35.0,27.12,1237,90.26,34.36,6249
December,125,36.69,16.97,17.14,869,99.53,45.38,7542
December,147,37.35,22.09,14.54,621,97.85,46.89,2943
December,169,20.06,30.6,18.24,1290,85.4,48.98,6172
December,182,46.06,17.22,20.99,1467,86.17,34.43,5450
May,189,35.95,15.84,11.32,856,85.6,42.25,1307
August,94,21.07,23.71,25.65,1750,87.69,48.9,8911
June,279,49.44,35.01,19.56,1718,80.48,48.98,8121
March,38,48.71,13.81,27.16,1128,81.17,28.7,7654
November,38,46.36,28.76,22.13,1625,89.85,32.67,3557
June,89,27.81,23.81,11.69,1806,88.3,48.07,2393
July,257,28.01,38.64,14.18,1836,93.02,38.08,5026
July,110,35.89,37.04,29.0,989,98.42,32.74,9359
November,274,30.43,37.18,22.75,551,86.75,48.84,3391
September,89,27.95,11.35,10.82,1296,94.31,33.58,8759
February,130,22.67,26.29,25.37,1137,91.1,25.0,5875
December,272,42.5,33.58,22.14,609,99.83,43.3,6156
August,287,22.2,34.93,22.91,629,80.43,49.5,9571
December,54,23.5,28.41,28.01,901,96.59,22.26,8757
July,52,21.9,37.06,21.22,1391,98.99,44.95,8423
January,112,27.07,14.26,16.06,1842,90.32,43.36,2867
April,284,37.91,32.08,16.04,1560,88.24,40.79,1608
July,53,42.83,14.37,22.16,1062,87.3,24.82,9880
June,295,35.58,21.08,21.48,642,80.98,38.09,5507
July,140,22.76,37.18,21.41,1301,92.89,42.03,3694
May,144,41.08,39.86,29.3,688,83.5,21.62,2978
December,209,39.01,14.69,29.61,1382,89.56,26.44,7352
December,173,21.57,37.22,14.22,659,92.97,26.34,5489
January,15,45.71,17.41,10.31,1053,86.97,39.94,2304
November,271,29.93,13.62,21.76,524,91.56,26.61,6657
May,257,31.21,31.0,17.12,687,87.64,24.18,6107
August,296,42.85,34.45,14.09,656,84.9,43.92,4869
October,23,46.76,18.78,26.77,715,85.88,38.28,3753
May,82,45.49,18.74,28.92,1791,92.47,22.84,7452
August,252,48.66,39.86,19.17,965,95.31,45.83,9217
August,181,27.89,14.93,14.87,1748,86.57,32.0,4313
May,286,33.99,37.67,13.73,1326,99.39,28.75,2438
January,179,33.02,15.2,13.19,1903,89.74,27.96,3000
January,243,23.69,10.24,18.03,1348,97.78,45.21,6800
August,148,26.34,32.02,20.39,1816,86.13,41.02,5154
August,127,31.96,14.71,14.63,1489,88.03,48.15,4395
October,107,31.23,26.85,18.87,651,80.39,28.69,3815
March,161,49.59,21.41,23.55,1572,91.48,24.98,6032
August,114,45.71,16.11,28.4,1681,97.95,28.25,6356
November,197,39.69,39.3,18.81,555,94.56,48.32,6349
July,269,28.04,26.23,21.96,834,82.32,43.17,1623
March,282,22.95,24.22,29.33,1222,88.73,45.01,5652
December,162,33.36,11.76,18.98,1717,90.91,29.83,3811
November,143,40.49,32.4,17.05,643,86.25,45.91,5879
October,237,29.4,10.89,24.04,1336,83.9,24.59,5884
September,253,44.4,18.82,10.59,1540,96.28,45.87,6640
February,218,33.67,12.75,15.71,814,99.6,44.06,8257
May,243,48.74,31.13,25.64,1185,99.95,26.64,9665
December,274,38.31,32.2,16.81,1143,94.24,25.73,9287
April,14,33.33,38.3,16.54,546,83.66,25.56,2654
October,55,41.38,31.09,18.79,797,96.19,49.5,2720
October,284,31.18,16.11,16.24,692,94.31,29.09,7372
January,65,32.77,25.12,17.25,1919,84.64,40.71,4867
May,91,37.2,22.32,17.46,1047,85.68,33.49,7120
November,204,39.75,32.25,25.42,722,95.02,24.85,8485
April,249,23.0,29.74,19.29,748,88.09,37.89,2831
December,52,23.98,10.63,13.22,687,85.96,26.2,8964
July,255,36.36,26.32,19.9,1451,86.36,31.7,3799
May,158,20.52,16.2,12.25,1579,93.13,27.05,6711
July,164,33.03,17.95,12.7,704,90.5,37.95,2076
September,204,22.79,10.99,17.01,746,88.98,46.21,2999
February,239,47.38,18.53,25.31,1662,91.03,44.56,1245
November,183,30.07,35.9,13.65,641,90.6,40.24,3724
May,127,47.18,15.92,21.74,551,93.76,33.82,5067
February,220,43.23,36.87,26.81,838,92.41,28.4,1148
December,180,34.49,23.64,19.96,1970,84.28,36.79,1162
May,176,22.0,28.53,10.95,1972,85.68,40.26,7529
June,146,20.98,14.77,12.53,805,94.26,35.52,5461
June,180,49.02,24.99,21.34,1038,90.06,31.0,6246
January,58,47.19,14.77,15.0,1886,94.83,40.76,6490
August,191,47.88,12.94,18.76,1937,85.03,30.13,8255
February,63,46.41,18.98,29.64,721,91.86,36.56,5003
September,141,35.11,23.55,29.17,1296,99.42,22.58,4754
November,230,29.37,32.5,16.17,1929,95.28,44.14,2308
November,96,37.73,14.86,16.66,1200,80.62,42.62,3757
September,164,39.28,35.4,12.26,1276,84.17,49.53,1002
August,286,33.79,12.5,29.88,521,88.53,27.38,2705
October,102,49.49,37.14,14.66,1651,96.26,46.67,2658
February,121,25.82,28.93,13.87,1014,86.88,40.47,2198
July,176,41.07,13.31,16.02,1897,97.78,43.91,7161
September,196,24.57,37.92,20.07,1217,82.27,42.94,3170
September,51,20.22,12.3,27.75,1523,91.73,49.24,4136
January,76,37.2,36.92,14.37,1337,88.47,29.44,5750
October,281,35.86,35.61,12.76,865,84.76,43.08,8595
April,89,41.31,12.55,20.71,1409,96.58,49.58,5157
June,257,43.48,39.29,15.05,900,90.87,35.14,3870
February,93,27.06,37.17,26.59,1336,98.5,23.35,6069
November,129,29.58,20.61,26.06,1653,93.82,43.5,3310
September,125,36.25,19.72,21.52,1556,97.28,45.58,6419
December,194,41.19,11.43,21.22,1916,98.45,27.28,6128
February,175,21.47,33.58,26.34,1730,94.57,38.92,5792
July,286,34.37,32.39,16.87,1765,88.74,42.66,5011
August,138,36.69,11.72,14.42,570,96.81,22.52,8687
June,85,37.13,18.69,29.44,1968,96.04,43.49,8194
July,57,33.59,36.41,19.19,811,82.72,24.79,5914
September,75,43.34,15.06,20.85,1900,93.05,27.54,5970
December,210,45.17,10.86,16.2,1081,86.67,22.9,5310
June,66,20.47,20.53,17.73,1942,98.22,40.9,7437
October,106,25.34,34.11,26.61,1565,87.69,25.27,8656
February,198,35.28,27.52,15.48,873,97.2,44.35,9757
November,94,24.99,25.54,12.69,1212,98.33,29.36,6239
June,85,29.0,34.19,14.95,1365,90.81,46.86,9122
March,50,37.99,22.51,15.62,922,81.19,33.05,4612
August,65,43.48,27.06,24.59,1002,80.33,38.76,8129
May,287,48.2,25.18,19.57,1996,87.63,43.05,8888
June,129,26.74,12.14,14.43,1924,96.36,25.22,2225
May,181,24.79,28.36,28.73,970,84.95,37.55,8800
May,192,26.43,34.71,16.19,856,95.37,32.96,2772
August,52,31.48,11.32,27.97,701,86.73,37.93,9926
April,113,21.84,10.08,22.84,1948,84.95,43.72,4787
August,87,36.63,22.54,29.07,1205,96.44,47.53,4366
February,18,42.38,39.79,25.27,626,97.71,33.52,8427
October,53,46.03,14.88,14.75,523,95.36,45.74,6020
January,210,38.21,24.85,26.91,1310,81.12,40.16,3781
April,212,46.85,38.86,11.58,518,84.08,21.9,9741
October,123,23.73,36.89,20.16,550,99.69,20.96,3601
January,229,26.57,16.23,20.71,1501,98.81,30.4,9770
October,31,42.02,20.53,10.71,1321,97.42,26.12,2922
October,102,21.01,19.14,12.42,1880,85.48,39.8,1377
March,31,31.56,10.81,22.14,1299,95.2,35.82,7353
April,84,48.16,10.7,19.19,608,84.46,36.22,3632
September,202,28.95,18.35,23.73,1973,92.03,33.38,8573
November,235,25.87,11.57,23.63,1619,88.06,34.67,3950
January,228,32.04,12.55,15.36,1745,85.42,36.6,8880
June,151,32.46,37.25,23.36,1277,92.94,29.02,7342
May,68,46.43,20.33,13.56,1388,88.21,26.2,2416
June,285,35.49,29.73,12.23,705,82.46,29.87,8943
December,286,45.62,39.23,20.46,1280,86.45,41.33,2260
August,285,41.09,23.47,14.94,1757,96.61,29.28,3719
November,33,24.62,27.56,11.93,897,82.78,49.7,1875
December,40,31.06,18.49,29.6,1796,83.81,36.22,4639
August,278,28.36,11.46,20.24,822,98.98,29.66,8443
August,61,26.9,25.28,24.25,979,84.22,45.19,4249
August,165,39.24,22.61,24.17,1635,85.87,43.18,5968
June,81,40.88,30.86,28.23,1800,89.08,46.6,4132
December,31,38.56,37.71,16.29,1756,83.61,25.69,2874
March,11,48.42,10.16,10.24,1292,82.1,29.62,7330
October,275,48.78,35.31,16.44,575,86.21,40.91,6064
October,20,34.19,35.67,13.35,1179,82.61,46.13,6431
September,193,39.78,28.54,27.1,1867,96.57,34.76,2327
February,158,44.49,32.88,15.1,1756,97.49,30.79,2659
December,267,28.77,29.16,16.59,831,88.24,31.32,9233
October,184,20.29,18.09,17.76,1594,87.45,26.02,1970
December,201,45.1,13.95,16.81,1315,98.53,37.32,6137
August,131,49.39,22.41,17.94,1821,97.75,40.82,3247
September,241,23.35,19.97,11.61,1536,83.74,41.83,3694
December,41,32.78,25.11,12.46,1032,85.97,21.32,4672
April,221,37.49,11.69,24.09,1972,87.4,28.15,2918
December,246,34.84,11.04,17.83,874,86.99,22.38,7516
June,276,30.51,20.87,21.36,858,92.53,31.17,8986
August,239,29.74,31.71,29.16,1185,80.6,37.49,6173
July,153,31.44,33.82,24.83,788,99.6,23.56,2888
September,244,41.32,34.35,20.39,1977,87.22,39.38,4834
July,249,43.2,31.77,19.67,1274,97.72,31.45,6107
March,47,42.65,30.29,22.8,1503,85.72,22.91,3697
May,18,24.14,11.07,14.71,1444,86.6,42.61,9174
July,285,29.29,27.2,29.02,1825,85.15,41.18,1343
March,258,32.29,23.99,14.51,1552,93.25,41.55,6177
June,141,20.28,12.81,25.4,1809,93.88,49.35,2462
September,31,46.47,16.04,15.79,1685,89.28,34.22,5476
May,272,25.0,11.67,22.33,1043,83.85,25.23,6072
March,204,23.44,16.0,22.52,1421,97.55,39.85,7690
March,29,49.19,34.99,27.58,1714,92.37,36.49,4071
January,168,36.88,12.83,16.24,1659,84.84,33.96,5003
October,47,34.82,25.07,28.11,1191,84.94,42.52,8826
December,237,35.77,26.61,13.54,1410,82.16,32.45,7573
July,206,46.97,32.97,28.45,1308,98.91,38.18,6970
February,216,43.96,33.74,15.23,1063,84.27,32.0,6607
January,168,39.67,38.57,12.35,1421,97.44,41.43,2564
September,176,29.49,16.96,16.85,1355,95.78,34.34,7334
August,141,36.54,15.57,28.8,1103,82.14,20.49,4445
October,109,45.93,31.02,16.94,1214,88.45,40.86,8175
March,298,25.52,24.34,18.17,844,83.45,28.6,7350
April,119,31.78,13.01,19.25,942,98.35,25.02,9367
April,87,33.61,12.89,25.01,1324,95.12,25.23,8734
August,59,23.78,20.25,17.32,1640,90.39,38.12,4991
July,11,29.84,37.49,13.73,1247,98.02,21.79,6552
July,24,33.13,18.8,10.32,1244,97.54,42.63,3787
December,15,49.58,23.9,21.32,1597,92.24,40.18,5014
July,268,28.38,14.2,15.57,1201,85.28,21.7,2476
January,170,47.81,24.79,13.23,1923,99.06,48.28,8974
January,127,25.86,16.1,27.95,1590,96.29,40.57,5099
September,213,47.89,23.98,11.01,1326,97.57,36.56,1169
September,143,46.28,36.53,22.24,1194,93.04,23.7,6102
March,265,37.31,11.37,18.64,1164,91.97,45.07,3224
August,45,35.24,23.74,11.27,1688,89.59,36.15,6969
March,187,23.58,22.68,21.36,1777,91.84,47.72,3902
December,275,40.91,36.65,22.4,1399,83.94,33.32,6684
March,203,33.48,33.95,21.73,1176,97.64,46.81,6500
November,45,20.67,25.79,12.21,951,82.91,46.72,7758
July,175,33.27,15.85,27.32,1067,86.59,22.38,9135
February,206,24.4,31.09,14.55,1375,95.0,25.23,7078
November,181,41.09,15.35,14.76,1089,98.65,28.73,4848
August,172,33.26,21.3,15.32,1797,92.07,36.64,4733
February,88,40.44,13.79,25.23,1923,88.45,38.26,1387
April,114,42.09,28.07,18.24,1955,92.79,42.66,4230
July,38,34.28,29.3,29.36,1376,99.07,40.95,2860
March,197,42.43,31.23,18.22,1424,99.08,42.87,2647
October,211,22.8,27.51,29.99,1705,88.85,45.32,1011
October,150,37.92,11.58,18.6,1600,88.94,20.58,2173
January,48,28.24,13.91,24.18,1195,93.95,21.17,7192
May,127,25.5,25.04,17.79,916,97.22,23.68,3013
July,198,31.25,32.94,22.95,1665,84.59,37.2,9643
October,293,32.4,32.6,22.76,1026,96.38,34.25,5539
August,172,20.35,15.3,28.0,1582,80.16,26.55,5113
November,141,46.06,36.48,14.06,1737,87.74,49.96,3779
November,249,32.49,29.79,12.72,1422,92.42,49.69,8309
October,217,27.09,32.34,14.14,648,83.11,23.51,8821
December,79,35.98,14.43,25.71,1540,95.93,25.91,5191
April,55,41.17,35.29,25.72,1016,94.89,31.08,1112
April,298,48.4,22.93,28.51,681,81.84,21.49,2382
November,223,30.73,25.46,27.5,1351,97.63,31.0,9317
November,18,35.23,35.71,12.5,763,91.17,33.56,7308
September,136,28.81,22.33,15.11,565,93.39,38.52,6819
February,184,24.87,38.15,25.78,1007,92.43,46.15,1207
June,68,24.56,26.71,15.56,1363,80.75,23.77,9780
July,286,46.47,18.94,29.79,1724,98.91,33.22,1739
July,178,30.17,21.16,15.99,905,98.7,38.51,4956
March,275,38.95,31.09,15.26,538,90.52,47.76,1207
December,101,43.5,38.45,20.62,624,80.09,32.27,9852
May,227,36.09,23.34,10.68,1548,95.76,45.65,3838
April,99,46.63,31.88,15.82,705,89.51,24.16,6702
January,180,36.36,36.38,16.57,1350,84.42,37.36,5174
September,190,43.98,30.38,13.56,805,82.88,48.89,7924
February,272,27.4,23.83,24.41,1756,80.33,36.67,5034
June,206,47.58,19.99,28.43,1245,98.92,38.19,5275
May,211,48.22,22.97,21.62,893,87.74,47.08,7956
August,46,39.4,27.77,14.45,998,87.52,26.02,4246
October,80,35.18,21.69,11.42,1385,85.55,20.78,1231
April,37,21.77,39.92,24.17,1621,80.63,30.37,7915
September,122,45.58,14.77,28.84,1739,94.48,31.37,6151
June,284,27.19,20.62,18.69,525,81.41,47.51,2864
November,280,29.77,25.31,27.48,1960,95.88,31.82,6798
January,216,37.05,15.44,28.47,1181,99.66,23.79,7896
May,57,42.02,25.13,23.38,663,95.44,47.88,8422
November,186,29.58,31.61,17.31,1682,95.11,49.73,2811
June,130,32.65,27.01,13.85,1505,92.92,21.4,8521
June,178,41.18,38.14,13.28,1072,93.47,35.5,3877
December,205,35.23,31.95,27.65,1483,99.03,28.41,8060
July,223,20.37,25.04,20.42,1798,85.24,43.01,3694
July,235,27.14,22.53,12.7,708,87.95,35.75,8474
July,59,32.94,20.76,26.42,1557,85.31,27.07,5774
February,247,48.64,14.75,20.4,594,91.24,30.79,5652
October,118,26.75,27.88,23.44,1160,94.2,30.79,5111
August,222,38.5,20.84,23.51,539,92.76,24.73,8939
March,195,49.74,22.91,26.81,1567,93.21,47.6,7835
November,289,27.52,29.94,26.36,1042,96.97,22.54,4759
February,289,21.36,21.1,20.53,1982,83.37,29.98,2389
December,296,37.56,23.48,29.29,632,80.23,35.22,3207
April,251,26.93,13.89,25.55,1993,93.87,30.15,9404
February,243,34.71,31.37,27.8,1725,87.82,25.75,8823
January,147,29.54,29.94,21.8,1418,99.11,24.0,6630
July,227,25.1,22.99,15.95,1942,94.6,37.86,2738
January,292,20.87,25.34,24.03,1463,87.39,20.48,5178
September,197,27.28,31.79,13.94,876,90.2,23.68,8923
February,120,21.15,35.23,24.99,1380,95.51,30.79,9192
June,199,49.5,38.37,11.99,1530,96.58,21.78,2417
March,116,42.5,31.87,11.64,1225,95.56,48.39,5834
July,31,33.92,11.41,19.07,1238,82.77,48.82,5495
July,176,47.35,21.32,21.65,852,92.13,45.84,7714
February,39,23.82,10.46,20.82,658,99.24,49.19,2521
May,214,34.58,10.6,13.81,876,88.31,48.81,8531
August,199,32.66,14.9,20.08,1600,81.4,21.32,8256
April,291,25.97,10.42,21.84,880,97.62,42.7,2250
April,251,20.48,32.09,24.35,1007,92.79,26.63,9140
August,95,38.06,24.48,22.37,919,96.3,39.94,6860
October,135,24.01,23.82,18.36,940,83.34,20.4,1629
October,58,43.75,20.5,23.27,915,87.21,24.05,1820
November,205,42.99,31.07,14.46,1064,95.9,26.1,2499
June,30,38.68,22.02,27.09,1029,88.0,37.45,7921
January,230,37.39,30.56,19.85,1470,87.83,31.7,5723
August,69,46.7,36.41,14.59,1565,88.72,25.37,9708
June,113,20.04,23.47,16.63,632,87.35,41.81,6037
March,136,28.51,10.38,20.4,1895,98.99,37.92,4976
July,121,40.91,26.14,10.85,1123,97.08,33.83,7626
December,112,40.56,13.62,19.65,1485,93.65,24.42,5510
July,178,29.82,23.62,22.34,1289,98.18,43.92,1053
April,112,23.43,19.51,24.03,762,94.53,29.58,7893
January,141,42.01,38.55,28.36,1847,85.32,44.35,2540
October,258,46.63,17.28,29.17,676,93.45,43.57,8480
October,53,43.8,12.6,27.06,1195,91.87,30.26,4702
February,155,38.85,29.89,17.44,1122,88.2,20.04,1489
August,82,48.6,19.95,21.97,980,95.3,31.62,4534
